conversion_flag,user_pseudo_id,device_category,operating_system,platform,city,browser,traffic_source,device_brand,cnt_page_views,cnt_sessions,cnt_site_search,cnt_download,cnt_form_step,cnt_form_step_life_plan,cnt_form_step_income_protection,cnt_form_step_duty_of_disclosure,cnt_form_step_personal_details,cnt_form_step_additional_information,cnt_form_step_assessment_summary,cnt_form_step_policy_owner_details,cnt_form_step_commencement_commissions,cnt_form_step_policy_declaration,cnt_form_step_medical_consent,cnt_form_step_submission_instructions,cnt_form_step_submit_application,cnt_form_step_standalone_ci
0,2002201670.1743552133,mobile,Android,WEB,Melbourne,Samsung Internet,(none),,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18611074.1743946080,mobile,Android,WEB,Perth,Samsung Internet,(none),,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1861476421.1745327156,mobile,Android,WEB,Sydney,Samsung Internet,(none),,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,741344313.1744140192,mobile,Android,WEB,Sydney,Edge,(none),,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1479042773.1740539529,mobile,Android,WEB,Perth,Chrome,(none),,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,718398158.1744920734,mobile,Android,WEB,Adelaide,Samsung Internet,(none),,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2099829368.1743846412,mobile,Android,WEB,Melbourne,Edge,cpc,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1188536069.1744862620,mobile,Android,WEB,Melbourne,Samsung Internet,cpc,,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1202862014.1744987647,mobile,Android,WEB,Sydney,Samsung Internet,(none),,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,599569949.1744424472,mobile,Android,WEB,Baldivis,Samsung Internet,(none),,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,808726098.1743444125,mobile,Android,WEB,Sydney,Samsung Internet,cpc,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,919678335.1743765228,mobile,Android,WEB,Sydney,Samsung Internet,cpc,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,477239594.1744514764,mobile,Android,WEB,Sydney,Chrome,(none),,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,53428244.1743395166,mobile,Android,WEB,Brisbane,Samsung Internet,(none),,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,417478633.1743578930,mobile,Android,WEB,Melbourne,Samsung Internet,(none),,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,19084505.1726199851,desktop,Windows,WEB,Makati,Chrome,organic,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,745457653.1744254265,mobile,Android,WEB,Melbourne,Samsung Internet,(none),,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1514562752.1743061002,mobile,Android,WEB,Brisbane,Samsung Internet,(none),,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1813873510.1744343231,mobile,Android,WEB,Sydney,Samsung Internet,(none),,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2058317545.1744665928,mobile,Android,WEB,Sydney,Samsung Internet,(none),,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,575307330.1743400537,mobile,Android,WEB,Sydney,Samsung Internet,cpc,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1918808342.1736809816,desktop,Windows,WEB,Brisbane,Chrome,(none),,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,412772386.1744932337,mobile,Android,WEB,Sydney,Samsung Internet,(none),,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,237437836.1743482632,mobile,Android,WEB,Perth,Edge,(none),,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1610948663.1745139181,mobile,Android,WEB,Sydney,Chrome,(none),,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,799609538.1743326823,desktop,Windows,WEB,Sydney,Chrome,organic,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1440838404.1744678573,mobile,Android,WEB,Brisbane,Edge,(none),,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1996499118.1744196346,mobile,Android,WEB,Sydney,Samsung Internet,(none),,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,773208251.1743655413,mobile,Android,WEB,Melbourne,Samsung Internet,(none),,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1883922709.1737674009,mobile,Android,WEB,Melbourne,Samsung Internet,(none),,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,70256495.1743394168,mobile,Android,WEB,Canberra,Samsung Internet,cpc,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1735902130.1745132246,mobile,Android,WEB,Melbourne,Edge,(none),,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,189451229.1744457369,mobile,Android,WEB,Brisbane,Samsung Internet,cpc,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1818534129.1744246442,mobile,Android,WEB,Melbourne,Samsung Internet,(none),,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1197014200.1745064976,mobile,Android,WEB,Perth,Samsung Internet,cpc,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,261165049.1744803656,mobile,Android,WEB,Sydney,Samsung Internet,cpc,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,534449490.1744349165,mobile,iOS,WEB,Melbourne,Safari,(none),Apple,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1031278293.1744234145,mobile,iOS,WEB,Brisbane,Chrome,(none),Apple,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,325995832.1744271397,mobile,iOS,WEB,Busselton,Safari,(none),Apple,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,174572657.1734935589,desktop,Macintosh,WEB,Sydney,Chrome,(none),Apple,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16836212.1744772989,desktop,Macintosh,WEB,Sydney,Safari,(none),Apple,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51679631.1741523376,desktop,Macintosh,WEB,Perth,Chrome,(none),Apple,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,368022052.1744007238,mobile,iOS,WEB,Lac-Sante,Safari,cpc,Apple,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2040610241.1743339046,desktop,Macintosh,WEB,Wagga Wagga,Safari,cpc,Apple,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1704094356.1743499732,mobile,iOS,WEB,Sydney,Safari,cpc,Apple,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,976697628.1743912884,mobile,iOS,WEB,Sydney,Safari,(none),Apple,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,234729299.1743411301,mobile,iOS,WEB,Brisbane,Safari,(none),Apple,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,595942760.1743055326,desktop,Macintosh,WEB,Adelaide,Chrome,cpc,Apple,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1137658344.1743333895,desktop,Macintosh,WEB,Melbourne,Chrome,(none),Apple,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1090783707.1743208742,desktop,Macintosh,WEB,Melbourne,Chrome,organic,Apple,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1233773823.1744785011,desktop,Macintosh,WEB,Sydney,Firefox,(none),Apple,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,480934167.1743049806,desktop,Macintosh,WEB,Brisbane,Safari,(none),Apple,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1611795722.1743222025,mobile,iOS,WEB,Melton,Safari,cpc,Apple,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,501957456.1732140175,desktop,Macintosh,WEB,Melbourne,Firefox,(none),Apple,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,533867428.1743570713,mobile,iOS,WEB,Sydney,Safari,cpc,Apple,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,801947674.1744611304,mobile,iOS,WEB,Perth,Safari,(none),Apple,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1863140466.1743056622,desktop,Macintosh,WEB,Adelaide,Chrome,cpc,Apple,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,88623101.1744357783,mobile,iOS,WEB,Dubbo,Safari,(none),Apple,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1230898039.1744257883,desktop,Macintosh,WEB,Sydney,Chrome,(none),Apple,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,426757451.1742816510,desktop,Macintosh,WEB,Sydney,Chrome,organic,Apple,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,257734266.1744371525,mobile,iOS,WEB,Rockhampton,Safari,(none),Apple,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
